min,max,mean,std,median,p01,p05,p25,p75,p95,p99,nonzero_fraction,filename,patient_id,slice,split
0.0,169.0,30.988189697265625,44.82048797607422,0.0,0.0,0.0,0.0,72.0,120.0,138.0,0.36584689349112426,BraTS2021_00000_flair_46.png,BraTS2021_00000,46,train
0.0,165.0,30.030071258544922,44.23501205444336,0.0,0.0,0.0,0.0,73.0,118.0,136.0,0.34687037721893493,BraTS2021_00000_flair_51.png,BraTS2021_00000,51,train
0.0,169.0,28.683177947998047,44.047115325927734,0.0,0.0,0.0,0.0,72.0,117.0,133.0,0.3234791050295858,BraTS2021_00000_flair_56.png,BraTS2021_00000,56,train
0.0,165.0,25.94304656982422,42.58030319213867,0.0,0.0,0.0,0.0,67.0,114.0,130.0,0.29495654585798814,BraTS2021_00000_flair_61.png,BraTS2021_00000,61,train
0.0,163.0,23.057090759277344,40.8853645324707,0.0,0.0,0.0,0.0,33.0,110.8499984741211,128.0,0.2616725221893491,BraTS2021_00000_flair_66.png,BraTS2021_00000,66,train
0.0,130.0,17.526905059814453,34.18255615234375,0.0,0.0,0.0,0.0,0.0,94.0,107.0,0.22838849852071005,BraTS2021_00002_flair_69.png,BraTS2021_00002,69,train
0.0,144.0,28.201692581176758,41.003761291503906,0.0,0.0,0.0,0.0,66.0,107.0,123.0,0.35787259615384615,BraTS2021_00003_flair_0.png,BraTS2021_00003,0,train
0.0,165.0,32.5270881652832,42.87615966796875,0.0,0.0,0.0,0.0,74.0,111.0,129.0,0.40095691568047337,BraTS2021_00003_flair_10.png,BraTS2021_00003,10,train
0.0,163.0,34.01398468017578,43.457515716552734,0.0,0.0,0.0,0.0,75.0,112.0,129.0,0.4218287721893491,BraTS2021_00003_flair_15.png,BraTS2021_00003,15,train
0.0,164.0,36.29160690307617,45.09182357788086,0.0,0.0,0.0,0.0,78.0,116.0,133.0,0.43578957100591714,BraTS2021_00003_flair_20.png,BraTS2021_00003,20,train
0.0,162.0,36.908447265625,45.37617111206055,0.0,0.0,0.0,0.0,79.0,117.0,134.0,0.44244637573964496,BraTS2021_00003_flair_25.png,BraTS2021_00003,25,train
0.0,181.0,30.747896194458008,42.24339294433594,0.0,0.0,0.0,0.0,73.0,110.0,125.0,0.38216531065088755,BraTS2021_00003_flair_5.png,BraTS2021_00003,5,train
0.0,143.0,16.401580810546875,33.813232421875,0.0,0.0,0.0,0.0,0.0,97.0,115.0,0.22131564349112426,BraTS2021_00005_flair_0.png,BraTS2021_00005,0,train
0.0,148.0,23.118989944458008,39.00827407836914,0.0,0.0,0.0,0.0,52.0,104.0,124.0,0.2878374630177515,BraTS2021_00005_flair_10.png,BraTS2021_00005,10,train
0.0,167.0,25.62460708618164,40.76930618286133,0.0,0.0,0.0,0.0,59.0,109.0,129.0,0.32095968934911245,BraTS2021_00005_flair_15.png,BraTS2021_00005,15,train
0.0,208.0,27.627681732177734,41.88030242919922,0.0,0.0,0.0,0.0,65.0,109.0,133.0,0.3370469674556213,BraTS2021_00005_flair_20.png,BraTS2021_00005,20,train
0.0,145.0,21.14820671081543,37.85022735595703,0.0,0.0,0.0,0.0,24.0,102.0,119.0,0.26622596153846156,BraTS2021_00005_flair_5.png,BraTS2021_00005,5,train
0.0,127.0,15.059009552001953,31.034912109375,0.0,0.0,0.0,0.0,0.0,86.0,102.0,0.2042344674556213,BraTS2021_00006_flair_62.png,BraTS2021_00006,62,train
0.0,115.0,11.415495872497559,27.360685348510742,0.0,0.0,0.0,0.0,0.0,81.0,94.0,0.15890809911242604,BraTS2021_00006_flair_67.png,BraTS2021_00006,67,train
0.0,255.0,21.65363883972168,36.262474060058594,0.0,0.0,0.0,0.0,52.0,94.0,112.0,0.28827662721893493,BraTS2021_00008_flair_0.png,BraTS2021_00008,0,train
0.0,158.0,29.021934509277344,38.042823791503906,0.0,0.0,0.0,0.0,68.0,96.0,112.0,0.40520987426035504,BraTS2021_00008_flair_41.png,BraTS2021_00008,41,train
0.0,148.0,28.80746078491211,38.28659439086914,0.0,0.0,0.0,0.0,68.0,97.0,111.0,0.39212740384615385,BraTS2021_00008_flair_46.png,BraTS2021_00008,46,train
0.0,141.0,28.850059509277344,39.4548454284668,0.0,0.0,0.0,0.0,71.0,99.0,111.0,0.3744914940828402,BraTS2021_00008_flair_51.png,BraTS2021_00008,51,train
0.0,136.0,28.100475311279297,40.27692413330078,0.0,0.0,0.0,0.0,73.0,101.0,113.0,0.35264885355029585,BraTS2021_00008_flair_56.png,BraTS2021_00008,56,train
0.0,138.0,24.325050354003906,38.11890411376953,0.0,0.0,0.0,0.0,67.0,98.0,111.0,0.31996579142011833,BraTS2021_00008_flair_61.png,BraTS2021_00008,61,train
0.0,129.0,19.9803524017334,35.17169189453125,0.0,0.0,0.0,0.0,21.0,93.0,106.0,0.2739922337278107,BraTS2021_00008_flair_66.png,BraTS2021_00008,66,train
0.0,194.0,17.01120948791504,40.403099060058594,0.0,0.0,0.0,0.0,0.0,122.0,148.0,0.17971061390532544,BraTS2021_00009_flair_60.png,BraTS2021_00009,60,train
0.0,191.0,12.69593620300293,36.16680145263672,0.0,0.0,0.0,0.0,0.0,118.0,149.0,0.13602533284023668,BraTS2021_00009_flair_65.png,BraTS2021_00009,65,train
0.0,128.0,22.35796546936035,35.519554138183594,0.0,0.0,0.0,0.0,57.0,92.0,105.0,0.3029077292899408,BraTS2021_00011_flair_0.png,BraTS2021_00011,0,train
0.0,158.0,26.739459991455078,37.88509750366211,0.0,0.0,0.0,0.0,65.0,98.0,111.0,0.3629807692307692,BraTS2021_00011_flair_10.png,BraTS2021_00011,10,train
0.0,132.0,24.9501895904541,36.78754806518555,0.0,0.0,0.0,0.0,62.0,96.0,109.0,0.34208579881656803,BraTS2021_00011_flair_5.png,BraTS2021_00011,5,train
0.0,190.0,27.597679138183594,41.599647521972656,0.0,0.0,0.0,0.0,68.0,108.0,123.0,0.34102255917159763,BraTS2021_00012_flair_0.png,BraTS2021_00012,0,train
0.0,220.0,30.899892807006836,43.59075927734375,0.0,0.0,0.0,0.0,72.0,112.0,131.0,0.37698779585798814,BraTS2021_00012_flair_5.png,BraTS2021_00012,5,train
0.0,212.0,43.00785827636719,55.400630950927734,0.0,0.0,0.0,0.0,93.0,144.0,169.0,0.4197022928994083,BraTS2021_00014_flair_14.png,BraTS2021_00014,14,train
0.0,219.0,42.1291618347168,55.55508804321289,0.0,0.0,0.0,0.0,94.0,143.0,167.0,0.40784485946745563,BraTS2021_00014_flair_19.png,BraTS2021_00014,19,train
0.0,226.0,39.854820251464844,55.076324462890625,0.0,0.0,0.0,0.0,93.0,143.0,167.0,0.38838295118343197,BraTS2021_00014_flair_24.png,BraTS2021_00014,24,train
0.0,218.0,38.875160217285156,55.154266357421875,0.0,0.0,0.0,0.0,93.0,142.0,168.0,0.36771911982248523,BraTS2021_00014_flair_29.png,BraTS2021_00014,29,train
0.0,221.0,37.54026412963867,54.510128021240234,0.0,0.0,0.0,0.0,95.0,140.0,167.0,0.34705528846153844,BraTS2021_00014_flair_34.png,BraTS2021_00014,34,train
0.0,206.0,35.0770149230957,54.00790023803711,0.0,0.0,0.0,0.0,92.0,140.0,166.0,0.3205667529585799,BraTS2021_00014_flair_39.png,BraTS2021_00014,39,train
0.0,216.0,31.77121925354004,52.481422424316406,0.0,0.0,0.0,0.0,77.0,137.0,161.0,0.29229844674556216,BraTS2021_00014_flair_44.png,BraTS2021_00014,44,train
0.0,199.0,27.4451961517334,49.550392150878906,0.0,0.0,0.0,0.0,30.0,134.0,159.0,0.26079419378698226,BraTS2021_00014_flair_49.png,BraTS2021_00014,49,train
0.0,198.0,21.732919692993164,44.7070426940918,0.0,0.0,0.0,0.0,0.0,126.0,153.0,0.21794101331360946,BraTS2021_00014_flair_54.png,BraTS2021_00014,54,train
0.0,186.0,16.59710121154785,39.85396194458008,0.0,0.0,0.0,0.0,0.0,119.0,146.0,0.16824611686390534,BraTS2021_00014_flair_59.png,BraTS2021_00014,59,train
0.0,187.0,11.010770797729492,32.70041275024414,0.0,0.0,0.0,0.0,0.0,109.0,136.0,0.11795025887573965,BraTS2021_00014_flair_64.png,BraTS2021_00014,64,train
0.0,189.0,6.637943744659424,25.952871322631836,0.0,0.0,0.0,0.0,0.0,70.0,130.0,0.07174556213017752,BraTS2021_00014_flair_69.png,BraTS2021_00014,69,train
0.0,122.0,23.151187896728516,37.1328010559082,0.0,0.0,0.0,0.0,65.0,95.0,105.0,0.29858542899408286,BraTS2021_00016_flair_57.png,BraTS2021_00016,57,train
0.0,122.0,19.779216766357422,34.764503479003906,0.0,0.0,0.0,0.0,27.0,91.0,103.0,0.26127958579881655,BraTS2021_00016_flair_62.png,BraTS2021_00016,62,train
0.0,122.0,16.810049057006836,32.43986511230469,0.0,0.0,0.0,0.0,0.0,88.0,101.0,0.22711723372781065,BraTS2021_00016_flair_67.png,BraTS2021_00016,67,train
0.0,159.0,25.480098724365234,41.80068588256836,0.0,0.0,0.0,0.0,67.0,106.0,124.0,0.2911196375739645,BraTS2021_00017_flair_65.png,BraTS2021_00017,65,train
0.0,134.0,22.48398208618164,34.59136199951172,0.0,0.0,0.0,0.0,53.0,90.0,104.0,0.32673816568047337,BraTS2021_00018_flair_0.png,BraTS2021_00018,0,train
0.0,137.0,26.288484573364258,36.41024398803711,0.0,0.0,0.0,0.0,60.0,95.0,109.0,0.37502311390532544,BraTS2021_00018_flair_10.png,BraTS2021_00018,10,train
0.0,130.0,25.425018310546875,36.3681755065918,0.0,0.0,0.0,0.0,62.0,93.0,105.0,0.3550989275147929,BraTS2021_00018_flair_5.png,BraTS2021_00018,5,train
0.0,178.0,32.556236267089844,47.72002410888672,0.0,0.0,0.0,0.0,88.0,117.0,135.0,0.32708487426035504,BraTS2021_00019_flair_61.png,BraTS2021_00019,61,train
0.0,197.0,28.016803741455078,45.08251190185547,0.0,0.0,0.0,0.0,82.0,112.0,129.0,0.28603457840236685,BraTS2021_00019_flair_66.png,BraTS2021_00019,66,train
0.0,161.0,30.705228805541992,42.91426086425781,0.0,0.0,0.0,0.0,76.0,110.0,129.0,0.391249075443787,BraTS2021_00020_flair_44.png,BraTS2021_00020,44,train
0.0,160.0,29.424625396728516,42.22058868408203,0.0,0.0,0.0,0.0,75.0,108.0,126.0,0.3649223372781065,BraTS2021_00020_flair_49.png,BraTS2021_00020,49,train
0.0,159.0,27.088132858276367,41.13259506225586,0.0,0.0,0.0,0.0,71.0,105.0,123.0,0.3378790680473373,BraTS2021_00020_flair_54.png,BraTS2021_00020,54,train
0.0,152.0,24.449981689453125,40.13420867919922,0.0,0.0,0.0,0.0,59.0,104.0,122.0,0.2984467455621302,BraTS2021_00020_flair_59.png,BraTS2021_00020,59,train
0.0,156.0,20.272489547729492,37.19624328613281,0.0,0.0,0.0,0.0,13.0,99.0,119.0,0.2553161982248521,BraTS2021_00020_flair_64.png,BraTS2021_00020,64,train
0.0,148.0,16.11011505126953,33.983524322509766,0.0,0.0,0.0,0.0,0.0,96.0,114.0,0.20428069526627218,BraTS2021_00020_flair_69.png,BraTS2021_00020,69,train
0.0,119.0,23.278106689453125,35.19361114501953,0.0,0.0,0.0,0.0,63.0,87.0,101.0,0.31758505917159763,BraTS2021_00021_flair_46.png,BraTS2021_00021,46,train
0.0,175.0,20.694156646728516,33.674129486083984,0.0,0.0,0.0,0.0,56.0,86.0,97.0,0.28735207100591714,BraTS2021_00021_flair_51.png,BraTS2021_00021,51,train
0.0,121.0,18.05101203918457,32.0359001159668,0.0,0.0,0.0,0.0,19.0,83.0,95.0,0.2519646819526627,BraTS2021_00021_flair_56.png,BraTS2021_00021,56,train
0.0,122.0,15.512782096862793,30.50335121154785,0.0,0.0,0.0,0.0,0.0,81.0,95.0,0.21412721893491124,BraTS2021_00021_flair_61.png,BraTS2021_00021,61,train
0.0,114.0,12.4463529586792,27.940004348754883,0.0,0.0,0.0,0.0,0.0,80.0,93.0,0.17363165680473372,BraTS2021_00021_flair_66.png,BraTS2021_00021,66,train
0.0,148.0,17.460914611816406,34.73626708984375,0.0,0.0,0.0,0.0,0.0,100.0,116.0,0.23014515532544377,BraTS2021_00022_flair_0.png,BraTS2021_00022,0,train
0.0,154.0,22.396589279174805,38.368255615234375,0.0,0.0,0.0,0.0,46.0,103.0,121.0,0.2798862795857988,BraTS2021_00022_flair_5.png,BraTS2021_00022,5,train
0.0,185.0,40.67957305908203,50.99433898925781,0.0,0.0,0.0,0.0,87.0,132.0,154.0,0.4275147928994083,BraTS2021_00024_flair_38.png,BraTS2021_00024,38,train
0.0,174.0,39.825557708740234,50.37936782836914,0.0,0.0,0.0,0.0,87.0,128.0,148.0,0.41154308431952663,BraTS2021_00024_flair_43.png,BraTS2021_00024,43,train
0.0,172.0,38.62049102783203,51.116703033447266,0.0,0.0,0.0,0.0,89.0,129.0,151.0,0.3889839127218935,BraTS2021_00024_flair_48.png,BraTS2021_00024,48,train
0.0,177.0,36.21072769165039,50.450164794921875,0.0,0.0,0.0,0.0,89.0,127.0,146.0,0.36050758136094674,BraTS2021_00024_flair_53.png,BraTS2021_00024,53,train
0.0,174.0,31.541488647460938,47.57899475097656,0.0,0.0,0.0,0.0,82.0,121.0,140.0,0.32620654585798814,BraTS2021_00024_flair_58.png,BraTS2021_00024,58,train
0.0,157.0,27.440736770629883,45.07851028442383,0.0,0.0,0.0,0.0,72.0,116.0,134.3699951171875,0.2874214127218935,BraTS2021_00024_flair_63.png,BraTS2021_00024,63,train
0.0,158.0,23.771495819091797,42.79833984375,0.0,0.0,0.0,0.0,14.0,112.0,131.0,0.25013868343195267,BraTS2021_00024_flair_68.png,BraTS2021_00024,68,train
0.0,214.0,44.49336624145508,59.600120544433594,0.0,0.0,0.0,0.0,102.0,153.0,179.0,0.38521634615384615,BraTS2021_00025_flair_49.png,BraTS2021_00025,49,train
0.0,216.0,42.85643768310547,59.76050567626953,0.0,0.0,0.0,0.0,102.0,153.0,179.0,0.3646449704142012,BraTS2021_00025_flair_54.png,BraTS2021_00025,54,train
0.0,219.0,40.03291320800781,59.415470123291016,0.0,0.0,0.0,0.0,101.0,152.0,178.0,0.3346662352071006,BraTS2021_00025_flair_59.png,BraTS2021_00025,59,train
0.0,207.0,35.06303024291992,56.73989486694336,0.0,0.0,0.0,0.0,92.0,148.0,176.0,0.29775332840236685,BraTS2021_00025_flair_64.png,BraTS2021_00025,64,train
0.0,207.0,30.226654052734375,53.83366394042969,0.0,0.0,0.0,0.0,42.0,143.0,171.0,0.25808986686390534,BraTS2021_00025_flair_69.png,BraTS2021_00025,69,train
0.0,146.0,27.039108276367188,35.91486740112305,0.0,0.0,0.0,0.0,61.0,93.0,110.0,0.4051867603550296,BraTS2021_00026_flair_45.png,BraTS2021_00026,45,train
0.0,150.0,25.195682525634766,35.318641662597656,0.0,0.0,0.0,0.0,59.0,92.0,111.0,0.37994637573964496,BraTS2021_00026_flair_50.png,BraTS2021_00026,50,train
0.0,158.0,22.467039108276367,33.85184097290039,0.0,0.0,0.0,0.0,54.0,89.0,107.0,0.34874260355029585,BraTS2021_00026_flair_55.png,BraTS2021_00026,55,train
0.0,143.0,19.816614151000977,32.310001373291016,0.0,0.0,0.0,0.0,43.0,87.0,105.37000274658203,0.31453402366863903,BraTS2021_00026_flair_60.png,BraTS2021_00026,60,train
0.0,135.0,17.129207611083984,30.47243309020996,0.0,0.0,0.0,0.0,24.0,84.0,103.0,0.2786150147928994,BraTS2021_00026_flair_65.png,BraTS2021_00026,65,train
0.0,176.0,28.940643310546875,41.272064208984375,0.0,0.0,0.0,0.0,68.0,107.0,131.0,0.3642982618343195,BraTS2021_00028_flair_48.png,BraTS2021_00028,48,train
0.0,171.0,27.048677444458008,40.393836975097656,0.0,0.0,0.0,0.0,66.25,105.0,127.0,0.3395894970414201,BraTS2021_00028_flair_53.png,BraTS2021_00028,53,train
0.0,165.0,24.499467849731445,39.33610916137695,0.0,0.0,0.0,0.0,61.0,104.0,125.0,0.3104428624260355,BraTS2021_00028_flair_58.png,BraTS2021_00028,58,train
0.0,164.0,21.15631866455078,37.02663803100586,0.0,0.0,0.0,0.0,35.0,99.0,122.0,0.27457008136094674,BraTS2021_00028_flair_63.png,BraTS2021_00028,63,train
