model,variant,image_auroc,image_ap,image_f1,image_sensitivity,image_specificity,image_bacc,pixel_auroc,pixel_ap,pixel_dice,pixel_iou,pixel_sensitivity,pixel_specificity,training_time_s
Isolation Forest,baseline,0.6704448511541627,0.7935065616703733,0.4891618455377884,0.347535934289797,0.8272946859803467,0.5874153101409596,,,,,,,0.29
CNN Autoencoder,baseline (MSE),0.7894458828080826,0.8956537485999464,0.4876001526135063,0.3280287474332649,0.9589371980676328,0.6434829727504489,0.8810586612344519,0.2999310271889255,0.3279921813864605,0.1961666552842066,0.274571105650553,0.981351971567266,928.69
CNN Autoencoder,ablation: loss=MSE,0.6472822367050561,0.8129176303378438,0.496382054992764,0.3521560574948665,0.8429951690821256,0.5975756132884961,0.9013984339302824,0.3916010496620888,0.3907210982908194,0.2427926556893543,0.477696369228693,0.9548589421467742,889.3
CNN Autoencoder,ablation: loss=L1,0.6557468827188049,0.8247405796059326,0.5772439105772439,0.4440451745379877,0.7777777777777778,0.6109114761578828,0.9056962570323596,0.3942282314429645,0.3709949058957141,0.2277432447807703,0.5515123059362015,0.9336704215456612,609.16
CNN Autoencoder,ablation: loss=MSE+L1,0.6788288992054281,0.8371479594702058,0.5839219643457787,0.4455852156057495,0.8103864734299517,0.6279858445178506,0.9068578735977764,0.3992541295043841,0.3763822384512039,0.2318170245268607,0.5529321135171305,0.9353702045537604,616.01
CNN Autoencoder,MSE+L1 + denoising gaussiano,0.699213363886161,0.8383369129453805,0.4068607897885919,0.2618069815195072,0.9408212560386472,0.6013141187790773,0.9102091686153672,0.4288190841513733,0.4310080654078354,0.2747038119860504,0.3835729668636591,0.9815091208220664,91.59
CNN Autoencoder,MSE+L1 + coarse denoising 16x16,0.6722688450435973,0.8186788285822713,0.5129496402877698,0.3660164271047228,0.856280193236715,0.6111483101707189,0.9188606174402388,0.4576630038942666,0.444933576189347,0.2861186952381416,0.4958614717641039,0.9657974747505222,126.1
CNN Autoencoder,MSE+L1 + coarse denoising + post-processing,0.6722688450435973,0.8186788285822713,0.5129496402877698,0.3660164271047228,0.856280193236715,0.6111483101707189,0.9188606174402388,0.4576630038942666,0.4777962407237475,0.3138845491689763,0.4874775782862219,0.9741964334202684,132.63
CutPaste,self-supervised (image + pixel),0.617816861589739,0.7602169867062747,0.2049689417509954,0.1185831622170504,0.9094202898440892,0.5140017260363658,0.7241472337856343,0.0540082088361455,0.0524224951202749,0.0269167696735706,0.0674675693456495,0.951352424108114,11612.76
PatchCore,final,0.9037223238996518,0.9590415206336234,0.775107820211121,0.6457905544114693,0.9516908212445448,0.7987406878354115,0.9561094392427496,0.4593360793512722,0.3126826813782963,0.1853135020469732,0.900641584336545,0.8753526841215832,751.24
